10 234 2 11101010,0
2 11101010 10 234
10 193,11 3 21011,002222012010111202210022
3 21011,00222 10 193.107
10 0,45 4 0,130303030303030303030303
5 0,0 7 0,0
4 0,1303 10 0.449219
10 3,333333333 3 10,022222222222222222212111
3 10,1 10 3.33333
3 10,0222222 10 3.33288
9 88,88 9 88,880000000000000000082878
7 0,0 5 0,0
5 303,3333 6 210,425424002433110301522325
6 210,425424 5 303,333244444213002233402411
16 AC,DC 2 10101100,110111
2 10101100,1101100 16 AC,D8
16 ED,DA 4 3231,3122
4 3231,3121 16 ED,D9
16 AB,BA 8 253,564
8 253,56 16 AB,B8
8 666,66 4 12312,312
4 12312,3113 8 666,656
16 CAFE,BABE 13 1A865,9638201CC410C9C3197B37C4
13 1A865,9636 16 CAFE,BAB90E42B466
15 DEAD,BABE 12 23384,946139A24137BB8B4A2986B3
12 23384,9461 15 DEAD,BABD3516E8CABBA37AC868BA
